ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-00017217,PR-40006598,"Little Zaks Academy Richmond","LZ PTY LTD","Centre-Based Care","78 LENNOX ST",RICHMOND,NSW,2753,"0280368390 or 0245048630",,,98,19/05/2025,,,,,,,,,,,,,,,,,,,,"November 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017218,PR-40020798,"Randwick Montessori Academy","MAG NSW OPERATIONS PTY LTD","Centre-Based Care","7 YOUNG ST",RANDWICK,NSW,2031,0289167571,,,86,14/02/2025,,,,,,,,,,,,,,,,,,,,"June 2025",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017221,PR-40028113,"Kinda-Mindi Early Learning Centre, Guildford","Kinda-Mindi Pty Ltd","Centre-Based Care","37-39 BROUGHTON ST","OLD GUILDFORD",NSW,2161,0281124888,,,106,06/02/2025,,,,,,,,,,,,,,,,,,,,"August 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017224,PR-00004784,"The Rainbow Family Centres OSHC","Bentar Investments Pty Ltd","Centre-Based Care","Campbellfield Public School, 91 Townson Avenue",Minto,NSW,2566,0434086373,,,80,20/01/2025,,,,,,,,,,,,,,,,,,,,"June 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00017226,PR-40009569,"Sustainable OSHC - Seaforth","SUSTAINABLE OOSH CARE PTY LTD","Centre-Based Care","SEAFORTH PUBLIC SCHOOL, 37 KEMPBRIDGE AV",SEAFORTH,NSW,2092,,,,73,31/01/2025,,,,,,,,,,,,,,,,,,,,"July 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,07:00,08:45,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00017232,PR-00005240,"Giraffe Childcare Warringah","Giraffe Child Care Pty Ltd","Centre-Based Care","397 CONDAMINE ST","ALLAMBIE HEIGHTS",NSW,2100,,,,150,10/02/2025,,,,,,,,,,,,,,,,,,,,"May 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017239,PR-00007850,"Sunshine Kidz","ANGELS AT BEVERLY HILLS","Centre-Based Care","BARDWELL PARK INFANTS SCHOOL, 4 CREWE LANE","BARDWELL PARK",NSW,2207,,,,15,13/01/2025,,,,,,,,,,,,,,,,,,,,"December 2025",No,No,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,,,No
SE-00017243,PR-40037818,"Amana OSHC Arkana College","AMANA OSHC PTY LTD","Centre-Based Care","342-346 Stoney Creek Rd",Kingsgrove,NSW,2208,,,,50,29/01/2025,,,,,,,,,,,,,,,,,,,,"May 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,06:30,08:30,,,,,,,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00017253,PR-40001620,"The After School Klub Athelstane","The After School Klub Pty Ltd","Centre-Based Care","ATHELSTANE PUBLIC SCHOOL, 2-12 ATHELSTANE AV",ARNCLIFFE,NSW,2205,1300827500,,,30,31/01/2025,,,,,,,,,,,,,,,,,,,,"May 2025",No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,No
SE-00017260,PR-40022356,"SCECS OSHC St Joseph's Rockdale","SYDNEY CATHOLIC EARLY CHILDHOOD SERVICES LTD","Centre-Based Care","St Joseph's Catholic Primary School, Watkin Street",Rockdale,NSW,2216,0295688628,,,75,03/02/2025,,,,,,,,,,,,,,,,,,,,"June 2025",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,,,,,,,,,,,,,,,Yes
SE-00017261,PR-00004024,"Kids' Early Learning Blacktown City Blackett OSHC","Blacktown City Council","Centre-Based Care","47-59 BOLDREWOOD RD",BLACKETT,NSW,2770,0437558356,,,45,31/01/2025,,,,,,,,,,,,,,,,,,,,"May 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00017271,PR-40035636,"Trails Early Learning","Trails Early Learning Oran Park Podium Pty Ltd","Centre-Based Care","Level 1 351 Oran Park Dr","ORAN PARK",NSW,2570,1800872455,,,137,24/01/2025,,,,,,,,,,,,,,,,,,,,"December 2025",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017272,PR-40037452,"Thrive Early Learning Centre Greystanes","STEAM EDUCATION PTY LTD","Centre-Based Care","74 GREYSTANES RD",GREYSTANES,NSW,2145,0282036969,,,40,20/03/2025,,,,,,,,,,,,,,,,,,,,"July 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017282,PR-40009007,"Corowa Kids Early Learning","AUSTRALIAN CHILDCARE PTY LTD","Centre-Based Care","100-116 FEDERATION AV",COROWA,NSW,2646,"0427004588 or (02) 6069 1000",,,102,11/06/2025,,,,,,,,,,,,,,,,,,,,"October 2025",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017283,PR-00004939,"IDFS Vacation Care","Inverell District Family Services Incorporated","Centre-Based Care","ROSS HILL PUBLIC SCHOOL, ANDREW ST",INVERELL,NSW,2360,0267224038,,,50,17/03/2025,,,,,,,,,,,,,,,,,,,,"July 2025",No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15,16:30,08:15,16:30,08:15,16:30,08:15,16:30,08:15,16:30,,,,,No
SE-00017287,PR-40019246,"Kin Early Learning Centre - East Queanbeyan","Kin Educare Pty Ltd","Centre-Based Care","24 MULLOON ST","QUEANBEYAN EAST",NSW,2620,0251275110,,,120,15/01/2025,,,,,,,,,,,,,,,,,,,,"April 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017292,PR-00010251,"Little Scribblers Brighton Le Sands","LITTLE SCRIBBLERS BRIGHTON-LE-SANDS PTY LTD","Centre-Based Care","3 England Street",BRIGHTON-LE-SANDS,NSW,2216,0448619864,,,73,16/05/2025,,,,,,,,,,,,,,,,,,,,"September 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017310,PR-40003939,"Mini Masterminds Schofields","MMZ Holdings PTY LTD","Centre-Based Care","49-51 St Albans Rd",Schofields,NSW,2762,1300336464,,,120,14/03/2025,,,,,,,,,,,,,,,,,,,,"August 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00017311,PR-40032112,"Giggles and Growth","Bluegum Family Day Care Pty Ltd","Centre-Based Care","3-5 WOLLONGONG RD",ARNCLIFFE,NSW,2205,0407026309,,,65,29/01/2025,,,,,,,,,,,,,,,,,,,,"April 2025",No,No,No,Yes,Yes,Yes,No,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,06:00,18:00,,,,,06:00,08:30,06:00,08:30,06:00,08:30,06:00,08:30,06:00,08:30,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,14:30,17:00,,,,,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,,,,,No
SE-00017313,PR-00005777,"Young Academics Early Learning Centre Cambridge Park, Jordon St","Kazcorp Holdings Pty Ltd","Centre-Based Care","1 JORDON ST","CAMBRIDGE PARK",NSW,2747,1300668993,,,39,01/05/2025,,,,,,,,,,,,,,,,,,,,"October 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017319,PR-40008940,"Active OOSH Heritage College Lake Macquarie","JOSHUA EMERTON PTY LTD","Centre-Based Care","85 IRONBARK RD",MORISSET,NSW,2264,,,,77,31/01/2025,,,,,,,,,,,,,,,,,,,,"April 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00017320,PR-00003567,"Community Junction Children Services Montgrove","Community Junction Incorporated","Centre-Based Care","140 BRINGELLY RD","ORCHARD HILLS",NSW,2748,0296230331,,,30,05/02/2025,,,,,,,,,,,,,,,,,,,,"May 2025",No,No,No,Yes,Yes,Yes,No,06:30,18:00,06:30,18:00,06:30,18:00,06:00,18:00,06:30,18:00,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00017324,PR-00005777,"Young Academics Early Learning Centre Dharruk, Jersey Rd","Kazcorp Holdings Pty Ltd","Centre-Based Care","94-98 JERSEY RD",DHARRUK,NSW,2770,1300668993,,,146,17/03/2025,,,,,,,,,,,,,,,,,,,,"August 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017325,PR-40036271,"Saltwater Preschool","Saltwater Preschool Pty Limited","Centre-Based Care","30 QUEENS PDE",NEWPORT,NSW,2106,0291883888,,,88,06/03/2025,,,,,,,,,,,,,,,,,,,,"July 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017326,PR-40007965,"Sweetpeas OOSH Cranebrook","MMKB PTY LTD ATF MMKB Family Trust","Centre-Based Care","COMMUNITY OF CHRIST CHURCH, 72-74 LAYCOCK ST",CRANEBROOK,NSW,2749,0418218280,,,40,19/03/2025,,,,,,,,,,,,,,,,,,,,"September 2025",No,No,No,Yes,Yes,Yes,No,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,,,,,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,No
SE-00017330,PR-40030028,"FRENCHS FOREST EARLY LEARNING CENTRE","S & S AUSTRALIA INVESTMENTS PTY LTD","Centre-Based Care","UNIT 9, 25 FRENCHS FOREST RD EAST","FRENCHS FOREST",NSW,2086,,,,142,11/03/2025,,,,,,,,,,,,,,,,,,,,"July 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017338,PR-00010524,"Little Endeavours Early Learning Centre","LEELC ARNCLIFFE PTY LTD","Centre-Based Care","16 Segenhoe Street",ARNCLIFFE,NSW,2205,0411043112,,"The approved provider must ensure that children at the service will not access the balcony on the top floor of the service at any time. The approved provider must ensure that the doors leading to the outdoor balcony are locked and that the keys for the doors leading to the balcony from the upstairs preschool room are not readily available. The approved provider must ensure that any time children are utilising the outdoor play space, an additional educator to the required ratio is supporting children who may need to use the indoor bathroom or nappy change facilities.",50,20/06/2025,,,,,,,,,,,,,,,,,,,13/10/2025,"December 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017339,PR-00005777,"Young Academics Early Learning Centre Prestons, Rosewood Ave","Kazcorp Holdings Pty Ltd","Centre-Based Care","47-51 ROSEWOOD AV",PRESTONS,NSW,2170,1300668993,,,80,01/05/2025,,,,,,,,,,,,,,,,,,,,"September 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00017342,PR-40037818,"Amana OSHC Unity Grammar","AMANA OSHC PTY LTD","Centre-Based Care","70 Fourth Ave",AUSTRAL,NSW,2179,,,,50,29/01/2025,,,,,,,,,,,,,,,,,,,,"August 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,15:20,18:30,15:20,18:30,15:20,18:30,15:20,18:30,15:20,18:30,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00017346,PR-00003066,"Gurwood Early Learning Centre","Tatoah Pty Ltd ATF Tatoah Property Trust","Centre-Based Care","228-230 GURWOOD ST","WAGGA WAGGA",NSW,2650,0269894500,,,132,26/09/2025,,,,,,,,,,,,,,,,,,,,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006317,PR-00001129,"Goodstart Early Learning Rutherford","Goodstart Early Learning Ltd","Centre-Based Care","42 Dunkley Street",RUTHERFORD,NSW,2320,"02 4932 5611","02 4932 5811",,75,10/11/2008,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2021","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Sep 2016",,"June 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006318,PR-00001129,"Goodstart Early Learning Seven Hills","Goodstart Early Learning Ltd","Centre-Based Care","41 Best Road","SEVEN HILLS",NSW,2147,0739182271,,,58,06/04/2007,"Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Sep 2023","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","May 2018",,"December 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006319,PR-00001129,"Goodstart Early Learning South Nowra","Goodstart Early Learning Ltd","Centre-Based Care","113 Hillcrest Avenue",NOWRA,NSW,2541,"02 4421 5455",,,76,29/09/2006,"Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Feb 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2019",,"November 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006320,PR-00001129,"Goodstart Early Learning St Leonards - Christie Street","Goodstart Early Learning Ltd","Centre-Based Care","55 Christie St","ST LEONARDS",NSW,2065,"02 9906 7935","02 9953 6231",,66,18/01/2008,"Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jun 2025","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Nov 2019",,"April 2025",Yes,No,No,No,No,No,No,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,07:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006323,PR-00001129,"Goodstart Early Learning Tamworth - Brisbane Street","Goodstart Early Learning Ltd","Centre-Based Care","172 Brisbane Street",TAMWORTH,NSW,2340,"02 6766 9844",,,66,19/02/2007,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2021","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2016",,"May 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006324,PR-00001129,"Goodstart Early Learning Tamworth South","Goodstart Early Learning Ltd","Centre-Based Care","358 Goonoo Goonoo Road","TAMWORTH SOUTH",NSW,2340,"02 6762 5244",,,76,31/01/2009,"Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Dec 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2019",,"November 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006325,PR-00001129,"Goodstart Early Learning Taree","Goodstart Early Learning Ltd","Centre-Based Care","24 Robusta Parade",TAREE,NSW,2430,"02 6551 6222",,,63,15/03/2007,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2023","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Mar 2019",,"January 2025",Yes,No,No,No,No,No,No,06:15,18:15,06:15,18:15,06:15,18:15,06:15,18:15,06:15,18:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006326,PR-00001129,"Goodstart Early Learning Tatton","Goodstart Early Learning Ltd","Centre-Based Care","1 Stirling Boulevard","WAGGA WAGGA",NSW,2650,"02 6922 6566",,,76,25/10/2007,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2018",,"May 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006327,PR-00001129,"Goodstart Early Learning Thornton","Goodstart Early Learning Ltd","Centre-Based Care","4 Sandalwood Avenue",THORNTON,NSW,2322,"02 4966 3322",,,64,29/06/2007,"Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","May 2021","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2016",,"November 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006328,PR-00001129,"Goodstart Early Learning Thurgoona","Goodstart Early Learning Ltd","Centre-Based Care","11 Feathertop Circuit",THURGOONA,NSW,2640,"02 6043 3277","02 6043 3299",,90,26/10/2007,"Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","May 2020","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Mar 2015",,"September 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006329,PR-00001129,"Goodstart Early Learning Toongabbie","Goodstart Early Learning Ltd","Centre-Based Care","128 Cornelia Road",TOONGABBIE,NSW,2146,"02 9896 4137","02 9896 1044",,78,19/08/2007,"Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Jul 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2019",,"September 2025",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00006330,PR-00001129,"Goodstart Early Learning Toormina","Goodstart Early Learning Ltd","Centre-Based Care","631B Hogbin Drive",TOORMINA,NSW,2452,"02 6658 6220",,,76,24/09/2007,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2020","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2016",,"October 2025",Yes,No,No,No,No,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
